,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
0,902955083640224.9,6034618912397365.0,1.129242007367085e+16,1.4548744763419696e+16,1.617618096556866e+16,1.659876963799654e+16,1.633938499994366e+16,1.573550917143698e+16,1.496823289474473e+16,1.4126914792285414e+16,1.1705097978176232e+16,9696417650207364.0,8107431432848598.0,6861002237207587.0,5873459566594746.0,5084348018326112.0,4442548547064045.0,3916567516071851.5,3479294558001772.5,3109892488518150.5,2795548958568852.5,2525854031418217.5,2289523607617958.5,2080610026584475.2,1894907720099617.2,1729127441209738.5,1579952707683258.0,1444002747598224.5,1320034372929708.2,1206997057090506.0,1103954413994845.2,1010047049689218.2,924351847503225.9,845726497511363.8,773660176179659.2,707714515707675.2,647449751158711.9,592462651816947.4,542299357752118.56,496586682707564.25,270669631907689.7,119287850279180.17,52884738183208.43,22856606365407.246,9701538542708.617,4113475861793.3877,1755367289166.6436,767926358668.79,347383742271.8438,163289288466.82166,62570101876.224335,23561056386.36571,9353029987.60068,3897453926.713865,1687497517.5251584,755049370.9881734,347408133.917544,163716531.80328885,78729150.06704646,38493519.94578551,19097735.570395764,9602290.37101302,4883103.200579259,2508950.3548374586,1301251.637073217,679034.3087251929,356162.32959739567,187831.47882126112,99567.41232776271,53058.443188441386,43062.152270289414,5530.639688265845,735.022939679107,101.00759715106518,14.55025573989425,2.1665281583617046,0.2192363370742916,0.01777986966116663,0.001442335489294937,0.00011659073871136489,9.165628345625261e-06,7.072454236976677e-07,5.40066163648555e-08,4.104455123395795e-09,3.114982875349725e-10,2.316048862975208e-11,1.6793240016370858e-12,1.195201096022208e-13,8.389819070301916e-15,5.829395606744451e-16,4.01994961542347e-17,2.7569129242689577e-18,1.8627009287877452e-19,1.231756339665388e-20,8.002740881501605e-22,5.12383393538234e-23,3.2406336558646116e-24,2.02847431681226e-25,1.2585688958586088e-26,7.749762198562908e-28,4.740667948521704e-29,2.8749261589316818e-30,1.717256210860958e-31,1.011824432591152e-32,5.890270373306483e-34,3.392387149129888e-35,1.9350871492630992e-36,1.0942791757017027e-37,6.139495955965414e-39,3.419849858473644e-40,1.892348877722495e-41,1.0407106094781838e-42,5.690870549827167e-44,3.092000833825916e-45,1.6634470931370449e-46,8.864993029095795e-48,4.683435633972996e-49,2.454382073369174e-50,1.2765873359996729e-51,6.5932412611387565e-53
1,931797773747053.2,6149645700046011.0,1.1460205683111644e+16,1.4740305695138188e+16,1.6377744518689814e+16,1.6802749837793524e+16,1.6541890358712554e+16,1.593447535252266e+16,1.5162481595643402e+16,1.4315692630766122e+16,1.1876207131243332e+16,9850375237159866.0,8245885214483092.0,6985860133758271.0,5986484269512770.0,5187127426080206.0,4536395986818785.0,4002635204092746.5,3558536301491080.0,3183081897147783.0,2863357098011302.0,2588856643194703.0,2348156440788300.5,2135243634727740.5,1945868076336222.2,1776705175892802.5,1624395154150791.2,1485505155382472.5,1358780578519452.2,1243161577145930.2,1137703200457002.0,1041537633537003.8,953730156750289.8,873119469756979.8,799189925267421.9,731499405168029.6,669603634117307.5,613095138495977.6,561513674974377.4,514481187297710.4,281552190560118.9,124758988466249.1,55609033586645.52,24167925309756.844,10316512516643.145,4399152251761.488,1887892719499.6904,830436991355.0632,377640116825.98126,178401102445.27112,68796378726.05864,26073693846.545357,10413994993.087973,4364793668.279382,1900349175.2810798,854827816.6517525,395344738.06597686,187237315.86240447,90477607.71722026,44447885.505906135,22154466.042661168,11190043.542039985,5716072.6255670125,2949912.677675788,1536620.6479412918,805318.6429318517,424209.05758891307,224667.67654160535,119595.52809939277,63997.43569853687,52012.076325120644,6771.526908680627,912.0457057374166,126.99248063399962,18.529654912133335,2.7940782691498716,0.287061658481262,0.023670982510593727,0.0019524425095624634,0.00016047614053355726,1.2829899124147321e-05,1.0069300554046144e-06,7.821216241773312e-08,6.046369730792714e-09,4.667783938615064e-10,3.530837143519371e-11,2.6050230564491394e-12,1.886768766561402e-13,1.3479401555559341e-14,9.532597902856326e-16,6.691134577962467e-17,4.670995759357899e-18,3.2127708661899766e-19,2.1630844231881998e-20,1.431034949408927e-21,9.330640485557765e-23,6.010166657054923e-24,3.8317399467892893e-25,2.421580007461792e-26,1.5188935838383373e-27,9.464868690258629e-29,5.847399454917788e-30,3.558571893786326e-31,2.1364351640368073e-32,1.2673553260100286e-33,7.438374543803662e-35,4.3242448856768745e-36,2.492297920141318e-37,1.4252441790444183e-38,8.092245802741419e-40,4.5644428657046153e-41,2.5589319914937597e-42,1.4264813118700285e-43,7.901400255543042e-45,4.3339006653891594e-46,2.3549463189997533e-47,1.2686004961670003e-48,6.779277853551526e-50,3.5957905719801897e-51,1.893937675486194e-52
2,960954911611201.6,6263950269811791.0,1.1625714306045396e+16,1.4928596543476514e+16,1.6575543087399438e+16,1.700283698195307e+16,1.6740581247019758e+16,1.612981031421423e+16,1.5353332432357982e+16,1.4501328989765332e+16,1.2044913653011086e+16,1.000253934735665e+16,8383019828919859.0,7109761931790651.0,6098831533771036.0,5289443737740015.0,4629947191696905.0,4088536855943467.0,3637714542087177.5,3256289416827399.0,2931248409022354.5,2651994395602597.5,2406966498234361.0,2190088520998407.5,1997067098782190.0,1824543379294046.0,1669115234673343.8,1527298523513142.8,1397827696975910.5,1279634001424745.8,1171764294907884.0,1073342681565810.9,983423146335339.6,900825656736429.4,825029964550447.4,755590411812952.4,692058409045753.0,634022423573346.4,581015988919066.2,532656329194545.2,292656696246826.06,130375693230211.98,58422306421268.32,25530163852356.137,10959213398986.418,4699490100766.067,2028038058625.2153,896916450134.5812,409991571339.9199,194642186145.70078,75531410831.62917,28809565272.30998,11576406773.009886,4879830040.135152,2136240978.0781963,966002116.4259483,449033457.9289969,213712814.54657775,103766515.99327292,51215107.2989307,25644703.110496134,13011269.56664984,6675824.932596665,3460241.5587519193,1810203.3305733597,952740.2070909627,503985.65641806385,268037.0821323611,143275.09761003713,76984.7800908447,62652.58312898532,8266.972910141068,1128.2480742035223,159.14725541181656,23.517323340007476,3.5905797650216607,0.3744578451729163,0.03138875003394791,0.0026318745790778982,0.00021990579152181047,1.7875894177180295e-05,1.426642138427715e-06,1.1269142206604727e-07,8.859834424314016e-09,6.956006290833924e-10,5.351843937260317e-11,4.016845510838815e-12,2.960007741839497e-13,2.1517141199017767e-14,1.5484387969187564e-15,1.1060448606849746e-16,7.857570882230972e-18,5.50055876961665e-19,3.7697259397395685e-20,2.5389018491944605e-21,1.6854196023221318e-22,1.1053982933762937e-23,7.1761807765168335e-25,4.618344011647789e-26,2.9500301806932817e-27,1.8721646980786606e-28,1.1780050922287836e-29,7.302273417095524e-31,4.4658981419052046e-32,2.6989105178226555e-33,1.6138738466449549e-34,9.559398293614368e-36,5.61401526181881e-37,3.2714375779633203e-38,1.8928430886110747e-39,1.0880486924696915e-40,6.21658287593201e-42,3.531894368415053e-43,1.993942073569195e-44,1.1147624470332442e-45,6.174561009192729e-47,3.390754705820727e-48,1.84724407388016e-49,9.989090656602198e-51,5.364237079478415e-52
3,990412638940018.4,6377479355968157.0,1.1788888482896688e+16,1.5113565828863474e+16,1.676952985396939e+16,1.7198985617326498e+16,1.693541136699987e+16,1.6321465881097678e+16,1.5540735032402106e+16,1.4683771346915954e+16,1.2211160556093592e+16,1.0152851623692846e+16,8518777723274558.0,7232652152106932.0,6210448613288802.0,5391247213085359.0,4723155493955346.0,4174228804062607.0,3716788481205490.0,3329476969831344.0,2999187367159162.0,2715234146805720.0,2465922885295143.0,2245115911857716.5,2048478014025572.5,1872617161671500.8,1714089839265554.5,1569361438624915.8,1437155928016963.8,1316396058640376.8,1206120870885131.8,1105446728604810.6,1013416632142313.0,928832083625293.8,851168457144865.1,779976765518616.6,714804302420570.5,655235661183486.6,600798315284092.8,551104921777492.6,303980054755312.2,136137593214776.72,61325134945976.15,26944068221829.254,11630259264295.965,5014922070323.69,2176080700513.5684,967535092840.4879,444540911602.4274,212074478333.17975,82806803313.59016,31784180289.285885,12848016394.799992,5446519779.285649,2397228492.2799325,1089657535.1849356,509055525.89273506,243458264.7785122,118768699.16720757,58890760.07099308,29621711.621335432,15095870.051194288,7779248.184008702,4049528.4611290027,2127475.0530431536,1124432.848277583,597289.3414044476,318972.89423802635,171201.4924206929,92364.45716827545,75270.3151624758,10064.222693099306,1391.5266860613187,198.81337811432806,29.748280387367693,4.598046381902005,0.486663130414615,0.041460670703832296,0.0035331615583419594,0.00030004121300777464,2.4793395030605755e-05,2.011682482516491e-06,1.61562525306374e-07,1.2914990954255429e-08,1.0309820830390645e-09,8.066306136303083e-11,6.1575342372346704e-12,4.615482591223478e-13,3.413108313399182e-14,2.498788035437092e-15,1.8159300047844065e-16,1.3125658602743815e-17,9.34948848231475e-19,6.520776231349629e-20,4.4698542766394304e-21,3.0203302607835854e-22,2.0165010199486748e-23,1.3327088585013724e-24,8.73202897065854e-26,5.678891635912566e-27,3.6695081509768373e-28,2.351050364387543e-29,1.4841105340481004e-30,9.243760095763637e-32,5.689758461113062e-33,3.4655364948746587e-34,2.090999491158796e-35,1.2509609031952565e-36,7.426388101859214e-38,4.3776664015148034e-39,2.563799176641763e-40,1.4924926962965437e-41,8.639905723635312e-43,4.970185827969218e-44,2.8315803605361223e-45,1.5983267353386108e-46,8.945264145350649e-48,4.966849795679486e-49,2.7375605513157075e-50,1.4984646925513243e-51
4,1020156951033115.5,6490181529235585.0,1.1949674315515628e+16,1.5295166453007446e+16,1.6959662728585786e+16,1.7391155102287436e+16,1.712633918129647e+16,1.650939851572181e+16,1.5724643497744616e+16,1.4862971464679486e+16,1.2374894528314694e+16,1.0301256801760154e+16,8653103923692594.0,7354477457807494.0,6321284537315244.0,5492489581410677.0,4815975439330919.0,4259668380599797.0,3795718140445145.0,3402607146479297.0,3067138986933253.0,2778543184066815.5,2524995041387371.5,2300297285322960.0,2100074228485033.2,1920901750803319.2,1759295921173947.0,1611672502950623.0,1476745445408989.0,1353429415575445.0,1240756009103715.5,1137834190394745.2,1043696288855425.0,957125615944633.4,877593391397089.6,804647509315114.2,737831344535171.0,676725802391463.0,620852461977793.1,569819567820756.2,315518976989690.1,142044183390466.12,64318021171233.23,28410348552296.934,12330254941649.057,5345878335513.281,2332299641499.07,1042465853253.2242,481393320943.958,230761788168.14212,90655383737.67726,35013776372.3527,14236997306.27294,6069063005.192858,2685507318.2832565,1226960095.561764,576038928.0101696,276816092.3310953,135672861.03208652,67579725.17430846,34144229.27576833,17476976.412124548,9045142.064606974,4728499.477003535,2494586.458871289,1323932.555344684,706156.8641586021,378651.10763062455,204055.28360321486,110531.34567955122,90194.79171698217,12218.341851364165,1711.2102389609367,247.59663988307958,37.507493738334134,5.868066635896732,0.6302074645390774,0.054555284420025475,0.00472398626515854,0.00040764345574605376,3.4234739104083333e-05,2.8234065726806092e-06,2.3049761203046372e-07,1.8730306380876357e-08,1.5199550463517398e-09,1.2090378229715498e-10,9.38484292585063e-12,7.153914031053355e-13,5.380482974865418e-14,4.0065767830645585e-15,2.961671322784473e-16,2.1775483548261414e-17,1.5779192358412197e-18,1.1197108399019005e-19,7.810133013743857e-21,5.370546158455969e-22,3.649180091041616e-23,2.4546726537021864e-24,1.6370400809736368e-25,1.0837136781761459e-26,7.1282655014081865e-28,4.6492932810810634e-29,2.988010633703107e-30,1.894930309074969e-31,1.1876827570026335e-32,7.366629159947633e-34,4.526583619847715e-35,2.7580531496044227e-36,1.6676334645014645e-37,1.0012663399306326e-38,5.973010606818171e-40,3.541936689429626e-41,2.0886836587132625e-42,1.2240217236699403e-43,7.104369556155672e-45,4.085718795285192e-46,2.329841721482434e-47,1.318156426952551e-48,7.403262487457455e-50,4.129513566233432e-51
5,1050173719128327.8,6602007204070972.0,1.2108021404781924e+16,1.5473355588978154e+16,1.7145904215680612e+16,1.757930946693225e+16,1.731332777702379e+16,1.6693569191341578e+16,1.5905016288753472e+16,1.5038885286605646e+16,1.2536065864343e+16,1.0447702670159166e+16,8785946017274018.0,7475186651986887.0,6431290119487082.0,5593124058646968.0,4908362809836993.0,4344813944108417.5,3874464390880145.0,3475643236075462.5,3135068853684198.0,2841889256022974.5,2584152772283217.5,2355604402936883.0,2151829359828688.0,1969372522667974.5,1804710526670075.8,1654210363101994.0,1516576424636784.2,1390715703566833.0,1275652722703790.0,1170489387565321.5,1074247672647555.2,985692980948311.6,904292600970829.5,829591518186015.1,761129387035198.6,698483611496561.1,641170044229344.8,588792673455147.0,327269986285293.56,148094826977826.44,67401390473409.57,29929677854103.48,13059791087223.266,5692785958309.363,2496975122181.3667,1121884061263.8484,520656282100.4668,250769769330.49207,99111205315.196,38515330102.91572,15751956233.583838,6751911652.169937,3003419048.9998636,1379160598.9820142,650661047.6558248,314157622.65286595,154684680.78144908,77396887.38955128,39276907.463645294,20191227.854745816,10494392.707082799,5509125.0800805865,2918432.2835643278,1555220.4972484577,832891.360764584,448407.23374796775,242612.64099807295,131937.68520408872,107803.92321968192,14793.347854622343,2098.2893053907683,307.41372317004635,47.13944487267857,7.463783322278518,0.8132034569455555,0.07151683441535883,0.006291223374794818,0.0005515331888994575,4.706509410978503e-05,3.944544881538972e-06,3.2727283309269605e-07,2.7028469188462216e-08,2.2291750668182495e-09,1.8023791915985923e-10,1.4223112957257633e-11,1.1023601826196888e-12,8.430452484768058e-14,6.383822766632661e-15,4.798908971380978e-16,3.5882839979202105e-17,2.6445869785940394e-18,1.9089376091564055e-19,1.3545817913157854e-20,9.476896982048227e-22,6.552052155804224e-23,4.484749861327231e-24,3.0436213802117733e-25,2.0504692175666322e-26,1.3726124237756631e-27,9.111712610925064e-29,5.9605393985961186e-30,3.8479049606182826e-31,2.4552297882208085e-32,1.5504236433214603e-33,9.69992195822401e-35,6.0178327941814195e-36,3.7050953637824124e-37,2.26531906285225e-38,1.376170114144453e-39,8.310658808249577e-41,4.9911283130566446e-42,2.978956199692242e-43,1.7610692369193264e-44,1.0316230023617362e-45,5.992449673708162e-47,3.4537620185569646e-48,1.976135090749162e-49,1.122999680455211e-50
6,1080448712203790.1,6712908642136273.0,1.2263882784757258e+16,1.5648094568953428e+16,1.7328221278644148e+16,1.776341727186133e+16,1.7496344728185482e+16,1.687394326284026e+16,1.6081816105980866e+16,1.5211472831086462e+16,1.26946283939888e+16,1.0592140027016708e+16,8917254130040442.0,7594730671499237.0,6540417963096614.0,5693105360896443.0,5000274643205901.0,4429624903126677.0,3952988979480286.5,3548549255211669.5,3202943153040539.0,2905240602758527.5,2643366280384485.0,2411009339921539.0,2203717266754144.2,2018005030651455.0,1850310823526078.0,1696953737679675.2,1556629069540825.5,1428236544087135.5,1310793981715056.0,1203396568940413.2,1105056243299031.0,1014520788535517.9,931253784546300.8,854797517559569.0,784688120217505.2,720499682164331.5,661742499585673.6,608016462068001.8,339229425879346.7,154288757578582.53,70575591361878.64,31502691067690.08,13819443289967.283,6056068267470.856,2670388265301.1304,1205967256632.7117,562439493451.5361,272165890048.26483,108209547801.96542,42306567351.01703,17401943653.679085,7499777783.782258,3353457240.374971,1547598703.2530606,733651372.5436102,355884847.3949721,176027953.02594745,88467864.7657375,45090775.921549484,23279066.12462647,12150159.119723568,6404737.798728539,3406725.5244220686,1822769.64551425,980091.580243581,529754.5919329493,287756.7634031039,157100.21282057947,128530.10977733601,17863.47985549072,2565.6779911512986,380.5459438840454,59.05931843606509,9.462239195020624,1.045696495662233,0.09340768524471815,0.00834596517524899,0.0007431727948239788,6.442713678527415e-05,5.4861633909733845e-06,4.625001058364783e-07,3.881201626632314e-08,3.2526368767597158e-09,2.6726339434778566e-10,2.1436680496784118e-11,1.6889083419646883e-12,1.3130773909647752e-13,1.0108918223067801e-14,7.726291812013236e-16,5.874014185712818e-17,4.402160157926386e-18,3.231598884310344e-19,2.332363555244463e-20,1.6598235057412859e-21,1.167376228830169e-22,8.129004429878134e-24,5.612794851454858e-25,3.8472610139359624e-26,2.6204381977774893e-27,1.770015043691596e-28,1.1782956284470314e-29,7.7414379639900745e-31,5.027482290073296e-32,3.2314601060903036e-33,2.057939331113374e-34,1.299701819248765e-35,8.146358497548387e-37,5.070764523660704e-38,3.136273934908468e-39,1.928375730290047e-40,1.17919237340714e-41,7.166334261240294e-43,4.3140285331723496e-44,2.57351481569668e-45,1.52241338470849e-46,8.936447636244719e-48,5.2077931277052924e-49,3.014395947341793e-50
7,1110967618207653.0,6822839952162468.0,1.2417214853765106e+16,1.5819348770058572e+16,1.750658520335875e+16,1.794345146598303e+16,1.7675361956992444e+16,1.7050490336267602e+16,1.6255009770220786e+16,1.5380698083028342e+16,1.2850539407549616e+16,1.0734522633049974e+16,9046980901238210.0,7713062577042747.0,6648622462779185.0,5792389714553682.0,5091669249119850.0,4514061736763446.0,4031254552755294.0,3621289973508792.0,3270728698025522.5,2968565983718658.5,2702606193024144.0,2466484513536713.5,2255712077140693.0,2066775033284269.0,1896074128168650.8,1739881443702510.5,1596883637906757.8,1465973573403225.5,1346162736714811.5,1236539934145265.5,1136107385718787.2,1043595551658649.2,958464525100592.6,880254101459579.5,808497090060339.6,742764453354526.8,682561102762472.6,627482988109292.9,351393466512771.8,160625081502107.7,73840895394868.53,33129984200928.805,14609771211971.121,6436144246460.203,2852820710542.908,1294894996839.3108,606854779837.6935,295019399081.4753,117986916064.67699,46405972335.930786,19196463803.707973,8317641764.176451,3738273378.9139237,1733707048.458538,825794261.0071397,402432244.89944565,199945771.45575622,100929771.58631617,51663731.56255002,26785047.44054708,14038071.597692847,7430158.131021982,3968077.218574802,2131595.1754375766,1150683.6376298359,624404.2761647808,340490.41451991355,186608.0262938878,152866.97075052396,21514.620585469056,3128.511090158093,469.7011210775056,73.76605402021136,11.95714825384704,1.3400847443861295,0.12156005722971922,0.01102975293535291,0.000997400039103501,8.78239313156993e-05,7.596731793182407e-06,6.505964003170233e-07,5.546518362115244e-08,4.722239272630352e-09,3.9424355383906565e-10,3.21338053858498e-11,2.5729994596661723e-12,2.0332446734066818e-13,1.5910979095127158e-14,1.236164539807435e-15,9.553616065043149e-17,7.27890332680398e-18,5.433029637252905e-19,3.987423314739036e-20,2.8858145424028662e-21,2.0642407776929347e-22,1.4620337543400262e-23,1.026817376241423e-24,7.159453620395088e-26,4.9605959590536564e-27,3.4087225131925456e-28,2.3086814148680544e-29,1.5433442077572646e-30,1.0198944253256762e-31,6.671070290006669e-33,4.323613902749396e-34,2.7790653368240847e-35,1.7728835324718535e-36,1.1232358586228062e-37,7.071474391018046e-39,4.425908519833275e-40,2.7550242040895157e-41,1.7044523833186274e-42,1.0445859084968893e-43,6.344337389214761e-45,3.8213235390986545e-46,2.2839639103572817e-47,1.355317902638178e-48,7.988580521790863e-50
8,1141716064690402.0,6931757086421381.0,1.2567977302759422e+16,1.5987087498701088e+16,1.7680971460964886e+16,1.811938924375276e+16,1.7850355594490052e+16,1.7223184137403348e+16,1.6424568101244562e+16,1.554652888384076e+16,1.3003759578573526e+16,1.0874807161505648e+16,9175081454263008.0,7830137539807112.0,6755859802826132.0,5890934863185753.0,5182506222373687.0,4598086012406812.0,4109224677718503.0,3693830936873736.5,3338392953868916.0,3031834703511025.0,2761843588830455.5,2522002709667623.0,2307788214589065.0,2115658520515775.2,1941977931511971.5,1782972421850689.0,1637320465996489.2,1503908466296773.2,1381741941660846.2,1269903655493785.8,1167386430843479.5,1072903706200233.1,985912308741271.6,905949750287050.1,832545714955113.1,765268225014984.0,703616980319325.4,647184150774035.2,363758114139149.5,167102780274593.28,77197497239765.55,34812113549955.973,15431317764983.1,6833427930802.326,3044554247207.712,1388848659530.164,654015998177.0262,319401287724.565,128481036291.2729,50832795522.29977,21145484190.96645,9210760261.310616,4160682830.8646107,1939015422.5240884,927931763.1139598,454268652.6655838,226701755.4921823,114932014.46535538,59081051.76681591,30758171.98351129,16186442.482224785,8601829.016065659,4612082.083102564,2487308.842280229,1347955.438775515,734286.9050717709,401949.64224946615,221131.22886526928,181376.75436932352,25845.884835694767,3804.480712542874,578.084615716984,91.8575279836438,15.06216027010863,1.7116213970707528,0.15763891496396712,0.014522276018810164,0.0013333493602479779,0.00011922471375372092,1.0473889030351601e-05,9.110621195425428e-07,7.889045387016527e-08,6.8221824992489375e-09,5.785823173911936e-10,4.7913055712601705e-11,3.898265558444266e-12,3.13038414506215e-13,2.4894764126111418e-14,1.965668632444068e-15,1.5439712375299297e-16,1.1956772521134693e-17,9.072420098668715e-19,6.769441670747964e-20,4.981347016735255e-21,3.623170599489506e-22,2.609534625788213e-23,1.8637998828632575e-24,1.3216190447694907e-25,9.313177847774384e-27,6.509027164148088e-28,4.4842376096814597e-29,3.0494638541021903e-30,2.0501407640963646e-31,1.364331565506339e-32,8.996892036997901e-34,5.884212350460376e-35,3.819745785187592e-36,2.4626847253575284e-37,1.5777887276265665e-38,1.0049823753755678e-39,6.366687945281005e-41,4.0088703324043874e-42,2.5006691722304827e-43,1.5459593896084558e-44,9.478688057226481e-46,5.76723283292574e-47,3.4840390827873354e-48,2.0907088548877264e-49
9,1172679638818110.2,7039617834012800.0,1.2716133041324332e+16,1.6151283873775626e+16,1.7851359570239984e+16,1.8291211902228388e+16,1.8021305840877124e+16,1.73920023797265e+16,1.6590465795591934e+16,1.5708936820114678e+16,1.3154252884387914e+16,1.1012953145286946e+16,9301513364480314.0,7945912824920237.0,6862087952324719.0,5988700071341615.0,5272746453112120.0,4681660400674079.0,4186863860268025.5,3766138488351971.5,3405904060589056.5,3095016635646074.5,2821050022192442.0,2577537107670185.0,2359920423368070.0,2164631738537176.8,1987999923474044.0,1826205760521064.8,1677919992013988.8,1542022958835374.5,1417514575883940.2,1303471899137528.0,1198878675893456.8,1102431630295580.8,1013584543068361.1,931872848206369.4,856823302112686.9,788001173513824.2,724901125131057.5,667111707533213.0,376319217717735.56,173720713318299.88,80645514873301.95,36549595003276.65,16284608324358.773,7248327816223.909,3245870445682.8613,1488011240079.6917,704038938114.904,345384247903.03546,139730849829.49692,55607060312.4214,23259444568.178535,10184674057.206713,4623670757.441366,2165154957.466239,1040966491.8691388,511899189.5705468,256581319.10471973,130637121.46941161,67435932.35581914,35252231.27900156,18626489.612841405,9937959.167640716,5349410.26886718,2896177.529672911,1575593.926353296,861576.2657692465,473418.76156943676,261430.41303077646,214698.47856715738,30971.389974405425,4614.2167010167705,709.4806868591331,114.04816478718719,18.914695298943343,2.179013470800001,0.2037181670409773,0.0190508517889206,0.0017756045590955971,0.00016119939633052685,1.437964700678157e-05,1.2701600096887096e-06,1.1169080932919298e-07,9.808497525010043e-09,8.448579013582746e-10,7.106845208662917e-11,5.874178341143418e-12,4.792497073990229e-13,3.8724629021618365e-14,3.1068775314999592e-15,2.4797157900006686e-16,1.9514806472924902e-17,1.5049316380755445e-18,1.1413940184378177e-19,8.538009251107623e-21,6.313315059591609e-22,4.6229312996764985e-23,3.35708419213174e-24,2.4204577096127056e-25,1.7343408084394753e-26,1.2325951106221867e-27,8.635750064039705e-29,5.972793302330209e-30,4.084242422314827e-31,2.7647089403978684e-32,1.854592871868977e-33,1.233938450355478e-34,8.149090515167617e-36,5.345295385211881e-37,3.484312913587185e-38,2.2581254753753572e-39,1.4555908610426373e-40,9.326110189287095e-42,5.919883696529497e-43,3.724413542892604e-44,2.3239860535319635e-45,1.439127232294497e-46,8.848724311186504e-48,5.404747576643968e-49
